active,code,geometry.coordinates.latitude,geometry.coordinates.longitude,geometry.city_code,geometry.country_code,geometry.location,geometry.state_code,geometry.viewport.northeast.latitude,geometry.viewport.northeast.longitude,geometry.viewport.southwest.latitude,geometry.viewport.southwest.longitude,name
true,CHL_COMUNAARICA,,,CHL_CIUDADARICA,CHL,,CHL_REGIONDEARICAYPARINACOTA,,,,,Arica
true,CHL_COMUNACAMARONES,,,CHL_CIUDADARICA,CHL,,CHL_REGIONDEARICAYPARINACOTA,,,,,Camarones
true,CHL_COMUNAPUTRE,,,CHL_CIUDADPARINACOTA,CHL,,CHL_REGIONDEARICAYPARINACOTA,,,,,Putre
true,CHL_COMUNAGENERALLAGOS,,,CHL_CIUDADPARINACOTA,CHL,,CHL_REGIONDEARICAYPARINACOTA,,,,,General Lagos
true,CHL_COMUNAIQUIQUE,,,CHL_CIUDADIQUIQUE,CHL,,CHL_REGIONDETARAPACA,,,,,Iquique
true,CHL_COMUNAALTOHOSPICIO,,,CHL_CIUDADIQUIQUE,CHL,,CHL_REGIONDETARAPACA,,,,,Alto Hospicio
true,CHL_COMUNAPOZOALMONTE,,,CHL_CIUDADTAMARUGAL,CHL,,CHL_REGIONDETARAPACA,,,,,Pozo Almonte
true,CHL_COMUNACAMINA,,,CHL_CIUDADTAMARUGAL,CHL,,CHL_REGIONDETARAPACA,,,,,Camiña
true,CHL_COMUNACOLCHANE,,,CHL_CIUDADTAMARUGAL,CHL,,CHL_REGIONDETARAPACA,,,,,Colchane
true,CHL_COMUNAHUARA,,,CHL_CIUDADTAMARUGAL,CHL,,CHL_REGIONDETARAPACA,,,,,Huara
true,CHL_COMUNAPICA,,,CHL_CIUDADTAMARUGAL,CHL,,CHL_REGIONDETARAPACA,,,,,Pica
true,CHL_COMUNAANTOFAGASTA,,,CHL_CIUDADANTOFAGASTA,CHL,,CHL_REGIONDEANTOFAGASTA,,,,,Antofagasta
true,CHL_COMUNAMEJILLONES,,,CHL_CIUDADANTOFAGASTA,CHL,,CHL_REGIONDEANTOFAGASTA,,,,,Mejillones
true,CHL_COMUNASIERRAGORDA,,,CHL_CIUDADANTOFAGASTA,CHL,,CHL_REGIONDEANTOFAGASTA,,,,,Sierra Gorda
true,CHL_COMUNATALTAL,,,CHL_CIUDADANTOFAGASTA,CHL,,CHL_REGIONDEANTOFAGASTA,,,,,Taltal
true,CHL_COMUNACALAMA,,,CHL_CIUDADELLOA,CHL,,CHL_REGIONDEANTOFAGASTA,,,,,Calama
true,CHL_COMUNAOLLAGUE,,,CHL_CIUDADELLOA,CHL,,CHL_REGIONDEANTOFAGASTA,,,,,Ollagüe
true,CHL_COMUNASANPEDRODEATACAMA,,,CHL_CIUDADELLOA,CHL,,CHL_REGIONDEANTOFAGASTA,,,,,San Pedro de Atacama
true,CHL_COMUNATOCOPILLA,,,CHL_CIUDADTOCOPILLA,CHL,,CHL_REGIONDEANTOFAGASTA,,,,,Tocopilla
true,CHL_COMUNAMARIAELENA,,,CHL_CIUDADTOCOPILLA,CHL,,CHL_REGIONDEANTOFAGASTA,,,,,María Elena
true,CHL_COMUNACOPIAPO,,,CHL_CIUDADCOPIAPO,CHL,,CHL_REGIONDEATACAMA,,,,,Copiapó
true,CHL_COMUNACALDERA,,,CHL_CIUDADCOPIAPO,CHL,,CHL_REGIONDEATACAMA,,,,,Caldera
true,CHL_COMUNATIERRAAMARILLA,,,CHL_CIUDADCOPIAPO,CHL,,CHL_REGIONDEATACAMA,,,,,Tierra Amarilla
true,CHL_COMUNACHANARAL,,,CHL_CIUDADCHANARAL,CHL,,CHL_REGIONDEATACAMA,,,,,Chañaral
true,CHL_COMUNADIEGODEALMAGRO,,,CHL_CIUDADCHANARAL,CHL,,CHL_REGIONDEATACAMA,,,,,Diego de Almagro
true,CHL_COMUNAVALLENAR,,,CHL_CIUDADHUASCO,CHL,,CHL_REGIONDEATACAMA,,,,,Vallenar
true,CHL_COMUNAALTODELCARMEN,,,CHL_CIUDADHUASCO,CHL,,CHL_REGIONDEATACAMA,,,,,Alto del Carmen
true,CHL_COMUNAFREIRINA,,,CHL_CIUDADHUASCO,CHL,,CHL_REGIONDEATACAMA,,,,,Freirina
true,CHL_COMUNAHUASCO,,,CHL_CIUDADHUASCO,CHL,,CHL_REGIONDEATACAMA,,,,,Huasco
true,CHL_COMUNALASERENA,,,CHL_CIUDADELQUI,CHL,,CHL_REGIONDECOQUIMBO,,,,,La Serena
true,CHL_COMUNACOQUIMBO,,,CHL_CIUDADELQUI,CHL,,CHL_REGIONDECOQUIMBO,,,,,Coquimbo
true,CHL_COMUNAANDACOLLO,,,CHL_CIUDADELQUI,CHL,,CHL_REGIONDECOQUIMBO,,,,,Andacollo
true,CHL_COMUNALAHIGUERA,,,CHL_CIUDADELQUI,CHL,,CHL_REGIONDECOQUIMBO,,,,,La Higuera
true,CHL_COMUNAPAIHUANO,,,CHL_CIUDADELQUI,CHL,,CHL_REGIONDECOQUIMBO,,,,,Paihuano
true,CHL_COMUNAVICUNA,,,CHL_CIUDADELQUI,CHL,,CHL_REGIONDECOQUIMBO,,,,,Vicuña
