active,name,utc,zone
true,Niue,GMT-11:00,Pacific/Niue
true,Pago Pago,GMT-11:00,Pacific/Pago_Pago
true,Hawaii Time,GMT-10:00,Pacific/Honolulu
true,Rarotonga,GMT-10:00,Pacific/Rarotonga
true,Tahiti,GMT-10:00,Pacific/Tahiti
true,Marquesas,GMT-09:30,Pacific/Marquesas
true,Alaska Time,GMT-09:00,America/Anchorage
true,Gambier,GMT-09:00,Pacific/Gambier
true,Pacific Time,GMT-08:00,America/Los_Angeles
true,Pacific Time - Tijuana,GMT-08:00,America/Tijuana
true,Pacific Time - Vancouver,GMT-08:00,America/Vancouver
true,Pacific Time - Whitehorse,GMT-08:00,America/Whitehorse
true,Pitcairn,GMT-08:00,Pacific/Pitcairn
true,Mountain Time - Dawson Creek,GMT-07:00,America/Dawson_Creek
true,Mountain Time,GMT-07:00,America/Denver
true,Mountain Time - Edmonton,GMT-07:00,America/Edmonton
true,Mountain Time - Hermosillo,GMT-07:00,America/Hermosillo
true,"Mountain Time - Chihuahua, Mazatlan",GMT-07:00,America/Mazatlan
true,Mountain Time - Arizona,GMT-07:00,America/Phoenix
true,Mountain Time - Yellowknife,GMT-07:00,America/Yellowknife
true,Belize,GMT-06:00,America/Belize
true,Central Time,GMT-06:00,America/Chicago
true,Costa Rica,GMT-06:00,America/Costa_Rica
true,El Salvador,GMT-06:00,America/El_Salvador
true,Guatemala,GMT-06:00,America/Guatemala
true,Managua,GMT-06:00,America/Managua
true,Central Time - Mexico City,GMT-06:00,America/Mexico_City
true,Central Time - Regina,GMT-06:00,America/Regina
true,Central Time - Tegucigalpa,GMT-06:00,America/Tegucigalpa
true,Central Time - Winnipeg,GMT-06:00,America/Winnipeg
true,Galapagos,GMT-06:00,Pacific/Galapagos
true,Bogota,GMT-05:00,America/Bogota
true,America Cancun,GMT-05:00,America/Cancun
true,Cayman,GMT-05:00,America/Cayman
true,Guayaquil,GMT-05:00,America/Guayaquil
true,Havana,GMT-05:00,America/Havana
true,Eastern Time - Iqaluit,GMT-05:00,America/Iqaluit
true,Jamaica,GMT-05:00,America/Jamaica
true,Lima,GMT-05:00,America/Lima
true,Nassau,GMT-05:00,America/Nassau
true,Eastern Time,GMT-05:00,America/New_York
true,Panama,GMT-05:00,America/Panama
true,Port-au-Prince,GMT-05:00,America/Port-au-Prince
true,Rio Branco,GMT-05:00,America/Rio_Branco
true,Eastern Time - Toronto,GMT-05:00,America/Toronto
true,Easter Island,GMT-05:00,Pacific/Easter
true,Caracas,GMT-04:30,America/Caracas
true,Asuncion,GMT-03:00,America/Asuncion
true,Barbados,GMT-04:00,America/Barbados
true,Boa Vista,GMT-04:00,America/Boa_Vista
true,Campo Grande,GMT-03:00,America/Campo_Grande
true,Cuiaba,GMT-03:00,America/Cuiaba
true,Curacao,GMT-04:00,America/Curacao
true,Grand Turk,GMT-04:00,America/Grand_Turk
true,Guyana,GMT-04:00,America/Guyana
true,Atlantic Time - Halifax,GMT-04:00,America/Halifax
true,La Paz,GMT-04:00,America/La_Paz
true,Manaus,GMT-04:00,America/Manaus
true,Martinique,GMT-04:00,America/Martinique
true,Port of Spain,GMT-04:00,America/Port_of_Spain
true,Porto Velho,GMT-04:00,America/Porto_Velho
true,Puerto Rico,GMT-04:00,America/Puerto_Rico
true,Santo Domingo,GMT-04:00,America/Santo_Domingo
true,Thule,GMT-04:00,America/Thule
true,Bermuda,GMT-04:00,Atlantic/Bermuda
true,Newfoundland Time - St. Johns,GMT-03:30,America/St_Johns
true,Araguaina,GMT-03:00,America/Araguaina
true,Buenos Aires,GMT-03:00,America/Argentina/Buenos_Aires
true,Salvador,GMT-03:00,America/Bahia
true,Belem,GMT-03:00,America/Belem
true,Cayenne,GMT-03:00,America/Cayenne
true,Fortaleza,GMT-03:00,America/Fortaleza
true,Godthab,GMT-03:00,America/Godthab
true,Maceio,GMT-03:00,America/Maceio
true,Miquelon,GMT-03:00,America/Miquelon
true,Montevideo,GMT-03:00,America/Montevideo
true,Paramaribo,GMT-03:00,America/Paramaribo
true,Recife,GMT-03:00,America/Recife
true,Santiago,GMT-03:00,America/Santiago
true,Sao Paulo,GMT-02:00,America/Sao_Paulo
